2023-09-14 17:43:28,398 INFO    MainThread:927500 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_setup.py:_flush():76] Configure stats pid to 927500
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_setup.py:_flush():76] Loading settings from /home/shixl/.config/wandb/settings
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_setup.py:_flush():76] Loading settings from /home/shixl/Git_Projs/BinaryViT-main/wandb/settings
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_init.py:_log_setup():524] Logging user logs to /home/shixl/Git_Projs/BinaryViT-main/wandb/run-20230914_174328-724wt7mp/logs/debug.log
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_init.py:_log_setup():525] Logging internal logs to /home/shixl/Git_Projs/BinaryViT-main/wandb/run-20230914_174328-724wt7mp/logs/debug-internal.log
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_init.py:init():564] calling init triggers
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_init.py:init():614] starting backend
2023-09-14 17:43:28,399 INFO    MainThread:927500 [wandb_init.py:init():618] setting up manager
2023-09-14 17:43:28,400 INFO    MainThread:927500 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-14 17:43:28,401 INFO    MainThread:927500 [wandb_init.py:init():624] backend started and connected
2023-09-14 17:43:28,404 INFO    MainThread:927500 [wandb_init.py:init():715] updated telemetry
2023-09-14 17:43:28,405 INFO    MainThread:927500 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-09-14 17:43:29,403 INFO    MainThread:927500 [wandb_run.py:_on_init():2220] communicating current version
2023-09-14 17:43:33,662 INFO    MainThread:927500 [wandb_run.py:_on_init():2229] got version response 
2023-09-14 17:43:33,662 INFO    MainThread:927500 [wandb_init.py:init():799] starting run threads in backend
2023-09-14 17:43:36,712 INFO    MainThread:927500 [wandb_run.py:_console_start():2199] atexit reg
2023-09-14 17:43:36,713 INFO    MainThread:927500 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-14 17:43:36,713 INFO    MainThread:927500 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-14 17:43:36,713 INFO    MainThread:927500 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-14 17:43:36,714 INFO    MainThread:927500 [wandb_init.py:init():840] run started, returning control to user process
2023-09-14 17:52:35,240 WARNING MsgRouterThr:927500 [router.py:message_loop():77] message_loop has been closed
