2023-09-14 20:57:28,791 INFO    MainThread:1403629 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_setup.py:_flush():76] Configure stats pid to 1403629
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_setup.py:_flush():76] Loading settings from /home/shixl/.config/wandb/settings
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_setup.py:_flush():76] Loading settings from /home/shixl/Git_Projs/BinaryViT-main/wandb/settings
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_init.py:_log_setup():524] Logging user logs to /home/shixl/Git_Projs/BinaryViT-main/wandb/run-20230914_205728-184w1nmd/logs/debug.log
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_init.py:_log_setup():525] Logging internal logs to /home/shixl/Git_Projs/BinaryViT-main/wandb/run-20230914_205728-184w1nmd/logs/debug-internal.log
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_init.py:init():564] calling init triggers
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_init.py:init():614] starting backend
2023-09-14 20:57:28,792 INFO    MainThread:1403629 [wandb_init.py:init():618] setting up manager
2023-09-14 20:57:28,793 INFO    MainThread:1403629 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-14 20:57:28,794 INFO    MainThread:1403629 [wandb_init.py:init():624] backend started and connected
2023-09-14 20:57:28,797 INFO    MainThread:1403629 [wandb_init.py:init():715] updated telemetry
2023-09-14 20:57:28,797 INFO    MainThread:1403629 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-09-14 20:57:41,420 INFO    MainThread:1403629 [wandb_run.py:_on_init():2220] communicating current version
2023-09-14 20:57:42,748 INFO    MainThread:1403629 [wandb_run.py:_on_init():2229] got version response 
2023-09-14 20:57:42,748 INFO    MainThread:1403629 [wandb_init.py:init():799] starting run threads in backend
2023-09-14 20:57:45,818 INFO    MainThread:1403629 [wandb_run.py:_console_start():2199] atexit reg
2023-09-14 20:57:45,819 INFO    MainThread:1403629 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-14 20:57:45,819 INFO    MainThread:1403629 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-14 20:57:45,819 INFO    MainThread:1403629 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-14 20:57:45,820 INFO    MainThread:1403629 [wandb_init.py:init():840] run started, returning control to user process
2023-09-14 21:06:46,972 WARNING MsgRouterThr:1403629 [router.py:message_loop():77] message_loop has been closed
